id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
m2404435,"{p7459789, 9329, p0496932, 827, p471009, p7440224, p3756260, p7718809, p7633615, p0961185, 68, p4230755, p5535622, p0709555, 115188, p318186, 06, 792, p8229619, p8229964, p7431474, p115720, 6064, 3, p7634925, p7508045, 4217, 42904, 34117, 104, 5406, p50900, p5102780, .., 32, p5330533, p0000352, 6504, p7245921, p6591687, p1546201, p504128, p6140184, p7398241, p0927794, p069267, p7251647, p2667240, 63, p7847679, 056, p010870, p6301084, 6289, 2206, p7797494, 853566, p0695435, p1011531, p8337726, p8337727, p8337724, 0775, p7513053, p2002316, p7460288, p1752714, p6021414, p0000160, p0000243, p5456827, p2093766, 6489, p7562589, p1413353, p003932, 188, p3290223, p7239708, 1999, p2899381, p5236560, p0544391, 8589, 0885, p0919671, p6915195, p7536044, 6690, p4512440, p7144573}",The Magnificent Seven,movie,0.666666666667,3.33000333e-05,4.0,3.0
p1556504,"{, 20, m2245283, m0439356, 0252019, 8737, 4864, m1579910,  m2072979,  m0200276, 062, m1219024, 770, m03648, m028025, m1602543, m3952746,  m0157, 758, 304, m0255734, m1103987, m0460631,  3, m1663676, 6676, m0165581, m091541, 103, 53}","Beheshti, Emil",actor,0.6,0.0028541288958,4.0,6.0
p6140184,"{7, m3315386, m17187, 069, 25041, m3564472, 747, m4522400, m4947608, 1, 3, 2, 403,  4, 6, 9,  336, 05757}","Gaspard, Juan",actor,0.832095945174,0.00614443642561,4.0,103.0
p0436064,"{, m112942, m168607, m219610, m3315386, 206, m1828, 20702, m109, m4522400, m484634, m1403206, 6300,  2,  3, 72, 6363, m0768838,  8, m5846628,  m3330764}","Kallaway, David",actor,0.490909090909,0.000918275397442,4.0,11.0
p2513232,{},"Mello, Rob",director/actor,0.0,0.0,1.0,0.0
p5273037,{ m31532},"Teague, Jack",director/actor,0.0,0.0,1.0,0.0
p4986289,{},"Babington, Walker",actor,0.0,0.0,1.0,0.0
p0927794,"{84, m1127221, 2200, m0903747, m2510028, 971, 2782, 8948, 0354615, m2404435,  m1245733, m25574,  m1296869, m0409572, 341, m1549920,  m1468381, 738, m0943326, m029361, 10875, 5929, m2011276, 501, m1715342, m3756722, m2088907, 7, 206, m0765010, 081, 6, m1767354, 5068, 306, m04194, m010964, m2611626, m0367135, m1965162, 7230, m0105291, m0360523, m44743,  284, 589, m0232992, m0309612, 3704, 9570}","Wiggins, Kevin",director/actor,0.831144108129,0.0093136367539,4.0,103.0
p7251647,{},"Macmillan, Jameson",actor,0.879797979798,0.000875597466507,4.0,100.0
p7401880,{},"Gastian, Shona",error,0.0,0.0,1.0,0.0
p2667240,{},"Lowry, Ed",director/actor,0.879797979798,0.000875597466507,4.0,100.0
p1551999,"{m1657507, m2247476, m1790886, m2917388, m334622, m6145774, 036, 2098, 8322, 959, m325002, m6151796, m3799088, m1599357, m040308, 694, 05, m2473602, 955, 6559, m1094206, 524, 0,  m0828465, 1375, m0901693, 7, 1116, m1007018, m186971, m0389860, m3158950, m4651666,  m339378, m152885, m1596363, m4651520, m1590961, m046968, m2497980, 770, m0441796, m3203606, 0480, 464, m1144884, m1663187, m138, 903088, 109, m02, 0129, m1266121, m1666642, m1937506, m1904996, m0282386, 462, m3113696, m1279972, m2948790, 39, m1558731, m296325, m1841642, m231271, 38, 33, m5846628, 534, m183359}","Slaughter, Billy",actor,0.469696969697,0.00132947685031,4.0,12.0
p6848589,{},"Jolly, Matthew",actor,0.0,0.0,1.0,0.0
p7847679,{},"Coen, Davis",actor,0.879797979798,0.000875597466507,4.0,100.0
p2936232,{},"Sensmeier, Martin",actor,0.0,0.0,1.0,0.0
p6301084,{},"Guidry, James E.",actor,0.879797979798,0.000875597466507,4.0,100.0
